Ticker,Symbol,Security Name,Exchange,Sector,Industry,Market Cap,Avg Volume
P,P,"Everpure, Inc. Class A common stock",NYSE,Unknown,Unknown,,3560198
EXE,EXE,Expand Energy Corporation - Common Stock,NASDAQ,Unknown,Unknown,,3543352
BTSG,BTSG,"BrightSpring Health Services, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3521052
CME,CME,CME Group Inc. - Class A Common Stock,NASDAQ,Unknown,Unknown,,3514046
FIVN,FIVN,"Five9, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3503746
BTU,BTU,Peabody Energy Corporation Common Stock ,NYSE,Unknown,Unknown,,3501278
OVV,OVV,Ovintiv Inc. (DE),NYSE,Unknown,Unknown,,3491664
FIGS,FIGS,"FIGS, Inc. Class A Common Stock",NYSE,Unknown,Unknown,,3487386
HLIT,HLIT,Harmonic Inc. - Common Stock,NASDAQ,Unknown,Unknown,,3484530
AHR,AHR,"American Healthcare REIT, Inc. Common Stock",NYSE,Unknown,Unknown,,3467012
ING,ING,"ING Group, N.V. Common Stock",NYSE,Unknown,Unknown,,3465904
SHC,SHC,Sotera Health Company - Common Stock,NASDAQ,Unknown,Unknown,,3465408
BF-B,BF.B,Brown Forman Inc Class B Common Stock,NYSE,Unknown,Unknown,,3461532
EVC,EVC,Entravision Communications Corporation Common Stock,NYSE,Unknown,Unknown,,3461444
WRBY,WRBY,Warby Parker Inc. Class A Common Stock,NYSE,Unknown,Unknown,,3460354
TAP,TAP,Molson Coors Beverage Company Class B Common Stock,NYSE,Unknown,Unknown,,3459264
VEEV,VEEV,Veeva Systems Inc. Class A Common Stock,NYSE,Unknown,Unknown,,3450666
ENTG,ENTG,"Entegris, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3450254
AESI,AESI,Atlas Energy Solutions Inc. Common Stock,NYSE,Unknown,Unknown,,3447888
ARR,ARR,"ARMOUR Residential REIT, Inc.",NYSE,Unknown,Unknown,,3443956
PRGO,PRGO,Perrigo Company plc Ordinary Shares,NYSE,Unknown,Unknown,,3436996
TSN,TSN,"Tyson Foods, Inc. Common Stock",NYSE,Unknown,Unknown,,3431796
EPD,EPD,Enterprise Products Partners L.P. Common Stock,NYSE,Unknown,Unknown,,3426036
PAYX,PAYX,"Paychex, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3421596
NTAP,NTAP,"NetApp, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3416970
STWD,STWD,"STARWOOD PROPERTY TRUST, INC. Starwood Property Trust Inc.",NYSE,Unknown,Unknown,,3396696
SRPT,SRPT,"Sarepta Therapeutics, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3391628
WBS,WBS,Webster Financial Corporation Common Stock,NYSE,Unknown,Unknown,,3389878
DV,DV,"DoubleVerify Holdings, Inc. Common Stock",NYSE,Unknown,Unknown,,3370578
BWA,BWA,BorgWarner Inc. Common Stock,NYSE,Unknown,Unknown,,3366568
PSNL,PSNL,"Personalis, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3363362
LLY,LLY,Eli Lilly and Company Common Stock,NYSE,Unknown,Unknown,,3361308
DHT,DHT,"DHT Holdings, Inc.",NYSE,Unknown,Unknown,,3355316
ROST,ROST,"Ross Stores, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3352112
KMX,KMX,CarMax Inc,NYSE,Unknown,Unknown,,3347250
NVST,NVST,Envista Holdings Corporation Common Stock,NYSE,Unknown,Unknown,,3340124
ALK,ALK,"Alaska Air Group, Inc. Common Stock",NYSE,Unknown,Unknown,,3338284
VITL,VITL,"Vital Farms, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3333418
DNOW,DNOW,DNOW Inc. Common Stock,NYSE,Unknown,Unknown,,3304010
AMT,AMT,American Tower Corporation (REIT) Common Stock,NYSE,Unknown,Unknown,,3290100
BRO,BRO,"Brown & Brown, Inc. Common Stock",NYSE,Unknown,Unknown,,3278782
TMHC,TMHC,Taylor Morrison Home Corporation Common Stock,NYSE,Unknown,Unknown,,3277724
PGR,PGR,Progressive Corporation (The) Common Stock,NYSE,Unknown,Unknown,,3265854
FSK,FSK,FS KKR Capital Corp. Common Stock,NYSE,Unknown,Unknown,,3256906
SSRM,SSRM,SSR Mining Inc. - Common Stock,NASDAQ,Unknown,Unknown,,3253030
LTH,LTH,"Life Time Group Holdings, Inc. Common Stock",NYSE,Unknown,Unknown,,3252706
CPRI,CPRI,Capri Holdings Limited Ordinary Shares,NYSE,Unknown,Unknown,,3249558
CMS,CMS,CMS Energy Corporation Common Stock,NYSE,Unknown,Unknown,,3241484
CAT,CAT,"Caterpillar, Inc. Common Stock",NYSE,Unknown,Unknown,,3240618
VIK,VIK,Viking Holdings Ltd Ordinary Shares,NYSE,Unknown,Unknown,,3216868
ALGM,ALGM,"Allegro MicroSystems, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3206526
GTX,GTX,Garrett Motion Inc. - Common Stock,NASDAQ,Unknown,Unknown,,3202412
NOG,NOG,"Northern Oil and Gas, Inc. Common Stock",NYSE,Unknown,Unknown,,3200060
EGO,EGO,Eldorado Gold Corporation Ordinary Shares,NYSE,Unknown,Unknown,,3193632
TXG,TXG,"10x Genomics, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3192074
CAVA,CAVA,"CAVA Group, Inc. Common Stock",NYSE,Unknown,Unknown,,3190628
CCJ,CCJ,Cameco Corporation Common Stock,NYSE,Unknown,Unknown,,3184698
WT,WT,"WisdomTree, Inc. Common Stock",NYSE,Unknown,Unknown,,3177172
AXP,AXP,American Express Company Common Stock,NYSE,Unknown,Unknown,,3174760
FTV,FTV,Fortive Corporation Common Stock ,NYSE,Unknown,Unknown,,3174292
AMRZ,AMRZ,Amrize Ltd Ordinary Shares,NYSE,Unknown,Unknown,,3170728
EBC,EBC,"Eastern Bankshares, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3168404
ACHC,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3167712
PBI,PBI,Pitney Bowes Inc. Common Stock,NYSE,Unknown,Unknown,,3162382
LKQ,LKQ,LKQ Corporation - Common Stock,NASDAQ,Unknown,Unknown,,3155740
ETSY,ETSY,"Etsy, Inc. Common Stock",NYSE,Unknown,Unknown,,3144410
FROG,FROG,JFrog Ltd. - Ordinary shares,NASDAQ,Unknown,Unknown,,3143726
MGNI,MGNI,"Magnite, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3136182
BHVN,BHVN,Biohaven Ltd. Common Shares ,NYSE,Unknown,Unknown,,3132876
AU,AU,AngloGold Ashanti PLC Ordinary Shares,NYSE,Unknown,Unknown,,3131682
BSY,BSY,"Bentley Systems, Incorporated - Class B Common Stock",NASDAQ,Unknown,Unknown,,3131370
KRMN,KRMN,Karman Holdings Inc. Common Stock,NYSE,Unknown,Unknown,,3131348
SGI,SGI,Somnigroup International Inc. Common Stock,NYSE,Unknown,Unknown,,3131058
TECK,TECK,Teck Resources Ltd Ordinary Shares,NYSE,Unknown,Unknown,,3127262
MUFG,MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",NYSE,Unknown,Unknown,,3124420
ALLY,ALLY,Ally Financial Inc. Common Stock,NYSE,Unknown,Unknown,,3121096
COO,COO,"The Cooper Companies, Inc.  - Common Stock",NASDAQ,Unknown,Unknown,,3120224
EROC,EROC,"ERock, Inc. Class A Common Stock",NYSE,Unknown,Unknown,,3116619
APLE,APLE,"Apple Hospitality REIT, Inc. Common Shares",NYSE,Unknown,Unknown,,3109086
VLO,VLO,Valero Energy Corporation Common Stock,NYSE,Unknown,Unknown,,3106092
EQR,EQR,Equity Residential Common Shares of Beneficial Interest,NYSE,Unknown,Unknown,,3101938
PEG,PEG,Public Service Enterprise Group Incorporated Common Stock,NYSE,Unknown,Unknown,,3089546
FRO,FRO,Frontline Plc Ordinary Shares,NYSE,Unknown,Unknown,,3078148
PCAR,PCAR,PACCAR Inc. - Common Stock,NASDAQ,Unknown,Unknown,,3071284
DFTX,DFTX,"Definium Therapeutics, Inc.  - Common Shares",NASDAQ,Unknown,Unknown,,3063210
CSIQ,CSIQ,Canadian Solar Inc. - Common Shares,NASDAQ,Unknown,Unknown,,3062754
SAP,SAP,SAP  SE ADS,NYSE,Unknown,Unknown,,3060352
CAI,CAI,"Caris Life Sciences, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3054612
G,G,Genpact Limited Common Stock,NYSE,Unknown,Unknown,,3053362
WHR,WHR,Whirlpool Corporation Common Stock,NYSE,Unknown,Unknown,,3050404
BAM,BAM,Brookfield Asset Management Inc Class A Limited Voting Shares,NYSE,Unknown,Unknown,,3048912
TRMB,TRMB,Trimble Inc. - Common Stock,NASDAQ,Unknown,Unknown,,3042246
BALL,BALL,Ball Corporation Common Stock,NYSE,Unknown,Unknown,,3037396
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3033436
TDC,TDC,Teradata Corporation Common Stock,NYSE,Unknown,Unknown,,3024240
APG,APG,APi Group Corporation Common Stock,NYSE,Unknown,Unknown,,3023456
FND,FND,"Floor & Decor Holdings, Inc. Common Stock",NYSE,Unknown,Unknown,,3017912
GFL,GFL,"GFL Environmental Inc. Subordinate voting shares, no par value",NYSE,Unknown,Unknown,,3014702
NTR,NTR,Nutrien Ltd. Common Shares,NYSE,Unknown,Unknown,,3014358
RMBS,RMBS,"Rambus, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3008404
PCOR,PCOR,"Procore Technologies, Inc. Common Stock",NYSE,Unknown,Unknown,,3004138
CLX,CLX,Clorox Company (The) Common Stock,NYSE,Unknown,Unknown,,2991930
LOW,LOW,"Lowe's Companies, Inc. Common Stock",NYSE,Unknown,Unknown,,2989886
DLO,DLO,DLocal Limited - Class A Common Shares,NASDAQ,Unknown,Unknown,,2985550
HWM,HWM,Howmet Aerospace Inc. Common Stock,NYSE,Unknown,Unknown,,2985534
NXT,NXT,Nextpower Inc. - Class A Common Stock,NASDAQ,Unknown,Unknown,,2977816
LEVI,LEVI,Levi Strauss & Co Class A Common Stock,NYSE,Unknown,Unknown,,2966996
AMH,AMH,American Homes 4 Rent Common Shares of Beneficial Interest,NYSE,Unknown,Unknown,,2963386
APGE,APGE,"Apogee Therapeutics, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,2961508
BDX,BDX,"Becton, Dickinson and Company Common Stock",NYSE,Unknown,Unknown,,2955142
BRZE,BRZE,"Braze, Inc. - Class A Common Stock",NASDAQ,Unknown,Unknown,,2953092
CF,CF,"CF Industries Holdings, Inc. Common Stock",NYSE,Unknown,Unknown,,2946604
FLR,FLR,Fluor Corporation Common Stock,NYSE,Unknown,Unknown,,2942752
USFD,USFD,US Foods Holding Corp. Common Stock,NYSE,Unknown,Unknown,,2940990
CP,CP,Canadian Pacific Kansas City Limited Common Shares,NYSE,Unknown,Unknown,,2938416
RVMD,RVMD,"Revolution Medicines, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,2931138
FLUT,FLUT,Flutter Entertainment plc Ordinary Shares,NYSE,Unknown,Unknown,,2926974
SGML,SGML,Sigma Lithium Corporation - common shares,NASDAQ,Unknown,Unknown,,2926020
OCUL,OCUL,"Ocular Therapeutix, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,2924814
NNE,NNE,Nano Nuclear Energy Inc. - common stock,NASDAQ,Unknown,Unknown,,2916414
ARMK,ARMK,Aramark Common Stock,NYSE,Unknown,Unknown,,2912654
RRC,RRC,Range Resources Corporation Common Stock,NYSE,Unknown,Unknown,,2908970
PBF,PBF,PBF Energy Inc. Class A Common Stock,NYSE,Unknown,Unknown,,2908004
EMR,EMR,Emerson Electric Company Common Stock,NYSE,Unknown,Unknown,,2906350
DB,DB,Deutsche Bank AG Common Stock,NYSE,Unknown,Unknown,,2902614
